,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.0028650489382881744,0.0,0.0008344202514667041,,0.0,0.0,0.006617470106066612,0.0,0.0,0.01714333135896662,0.0,0.0019522017830079228,0.0,,,0.001132510031604728,0.0009378074021041733,,0.001132510031604728,0.0012552847802387859,0.0061585462934372285,0.0014325244691440852,0.002481205163643193,
amazon,0.006733003292241385,0.0,0.004898979485566352,,0.0,0.0,0.0016329931618554506,0.0,0.0,0.012961481396815723,0.0,0.002000000000000003,0.0,,,0.008062257748298544,0.016196707484341783,,0.013403979508588739,0.012793227374930322,0.005259911279353166,0.017165857586111645,0.0025819888974716126,
annthyroid,0.02771282506919241,0.0,0.029702956312054038,0.0,0.0,0.0,0.05447904250601404,0.0,0.0,0.0685931990506739,0.0,0.0,0.0,0.0,0.020052906871671626,0.046200694307024545,0.00785252535918177,0.02422422960291165,0.004587059443414165,0.005617977528089964,0.04315250420150908,0.004835185201257701,0.015213555064861346,0.0024175926006288003
backdoor,0.027674927224453156,0.005748857700735912,0.012285288424934598,,0.0,0.0,0.09439641050280656,0.00623830831787725,0.02048269151040728,0.04400569307485661,0.029216811715621193,0.3076929445449111,0.00977458728952272,,,0.2033140403039167,0.06493048386478702,,0.020871492259081994,0.07051293616263057,0.012309500445025127,0.031388481415688695,0.012309500445025127,0.03715172238920994
breastw,0.00478790200495436,0.00984099195188315,0.0030566073197612577,0.036077412415641615,0.0038755445138422945,0.005650286115032822,0.1577830470958521,0.003677390812344444,0.0021576970030651953,0.005206838278817936,0.030991812243301227,0.006157903871470431,0.003048412121084643,0.01154047698930254,0.04683900467592576,0.007496298928402716,0.029854156940989172,0.04633581038570573,0.03472544712242805,0.01990653584348773,0.0071690542901445215,0.004134790834501604,0.005351861674545888,0.013058932324046375
campaign,0.001733094551984868,0.0,0.0020398377678880236,,0.0,0.0,0.06258228209369719,0.0,0.0,0.029947010586596486,0.0,0.01550176830719704,0.0,,,0.08537917553764218,0.01050872175891732,,0.012516091505399786,0.01814189267735763,0.006467911434107725,0.0050802980483440115,0.009444107161467905,
cardio,0.02783511071344516,0.0,0.052588800670131906,0.0,0.0,0.0,0.023195925594537627,0.0,0.0,0.04311572893118262,0.0,0.0,0.0,0.0,0.13832242148871374,0.030199277877087097,0.005439926748615538,0.14124776016654608,0.007149464427339751,0.006560798513518447,0.05650957859028667,0.008522727272727265,0.023369247498585346,0.002840909090909042
cardiotocography,0.017021464998985422,0.0,0.00730349708750435,,0.0,0.0,0.013726638814302923,0.0,0.0,0.0631864028512252,0.0,0.019303367336929375,0.0,,,0.06296433792206083,0.012451284109820595,,0.003664860788969809,0.0321888412017167,0.029390786486483193,0.0318954199136145,0.02046142309068358,
celeba,0.026315067908650857,0.00229165267291738,0.07155254698605307,0.0037266459769632354,0.007591432100455149,0.006173077403894025,0.0075158298318469844,0.005709177177186409,0.005935241226250236,0.09724664067077045,0.003960088936030292,0.06335804284617182,0.0028665460755854864,0.004191427018906492,0.0,0.06226008583723822,0.044337680935267576,0.00045413260672115,0.04828062600268704,0.02164537452881553,0.010014752854251891,0.022228568848146557,0.006346211771399917,0.02551642957697054
census,0.01185166522785771,0.0035741352475390674,0.002991899939000631,0.006552010276985587,0.0,0.0,0.013349616570080889,0.006035960084408197,0.004154105447431348,0.09654944410969808,0.004685024760439336,0.03867220473290718,0.0030029081189415106,0.0026484659415880285,0.01978942292927965,0.020414145801524897,0.007917588657195692,0.018739151784652977,0.010931405666994028,0.014014745070335378,0.005312544959633908,0.027141478268712764,0.005312544959633908,0.02908318046238445
cover,0.012605686675651042,0.017962333129209012,0.009976032236505701,0.005722515356537179,0.006425106282550388,0.011427992481958565,0.11249857001183027,0.009358495423709407,0.024762802499919873,0.13652315162297363,0.024864296479445692,0.003569478074021504,0.01667909772093134,0.009633712658474314,0.0,0.029582386570693033,0.06338948392110619,0.00107758620689655,0.04457091077022321,0.03252030557010934,0.14396299125984202,0.056069140218277864,0.04681685803176958,0.014076120540590839
donors,0.03627388441855265,0.01388553586400547,0.011173580392181087,,0.011285415965788874,0.011194611873975536,0.14709163561142907,0.04028133400467955,0.007713489184978649,0.2904492114037053,0.01995416982365157,0.1436454783609856,0.015126111473273427,,,0.2617575127484971,0.013765348889090525,,0.10445026930008623,0.018606744477813384,0.011216792805984862,0.02102420829457477,0.008393505881021009,
fault,0.007720880271480852,0.0,0.00950462657870006,0.0,0.0,0.0,0.005002231272096115,0.0,0.0,0.014926788673521199,0.0,0.005288300273418164,0.0,0.0,0.031937868142948994,0.016854581007601305,0.019125046633291565,0.03292499228255624,0.015006693816288406,0.02257940927323069,0.0060660964407706665,0.013752791854298951,0.014115898959881136,0.008081807267003856
fraud,0.04604131979989934,0.06413143031251763,0.0009226089446374096,,0.01631148195275789,0.024007250400041272,0.03770112152344752,0.054503229846411934,0.03382322140008296,0.13330856592179655,0.045438853326407035,0.027039571526948285,0.01960692205174474,,,0.2396451370746835,0.19272957340814814,,0.055186570096851774,0.03745290932193462,0.06606345895710006,0.03600033032712694,0.06953404051452837,
glass,0.060775240602146154,0.04309562726442389,0.09343613438842119,,0.09116905800300625,0.05267358603143763,0.045927770290999814,0.0748108812154024,0.1241790666519058,0.05357805381855083,0.07875118204398927,0.057377331503458084,0.05267358603143763,,,0.13028176323593707,0.05131836137289776,,0.055143886648646064,0.1115902403304542,0.087979264843358,0.051318361372897754,0.060272926586414574,
hepatitis,0.06354683451028005,0.05304101844996387,0.09872924035699251,,0.0070676638694271866,0.044199634234276114,0.14384675853710185,0.012689471718991626,0.05748577130417663,0.08670972072350763,0.11894758682097456,0.11026188764893356,0.08658185315873111,,,0.011928171192740821,0.039886621809353845,,0.039504544332291586,0.024689247448952078,0.008875739644970413,0.033846120315027865,0.008875739644970413,
http,0.2081550048201141,0.0032055829964523354,0.016821311618805842,,0.013109303156336726,0.014819826123074026,0.0,0.014819826123074026,0.0,0.010709061854707694,0.033815680932093056,0.011184278902300076,0.011723464788171926,,,0.40157311241322047,0.11978763204983096,,0.24075884583734675,0.13507678445317922,0.4939624690575647,0.16101759815225233,0.052680600972055965,
imdb,0.00412310562561766,0.0,0.0010000000000000022,,0.0,0.0,0.0025166114784235844,0.0,0.0,0.006608075867199675,0.0,0.0028284271247461866,0.0,,,0.020752509888364506,0.019756855350316592,,0.009591663046625436,0.03222835190739152,0.0037859388972001848,0.019891371663780927,0.005744562646538021,
internetads,0.05100691385978654,0.0,0.002717391304347841,0.0,0.0,0.0,0.031141509850853455,0.0,0.0,0.029298720995717134,0.0,0.0,0.0,0.0,0.02001483676991342,0.052010424709984064,0.02615856717064068,0.024806275249328155,0.020380434782608686,0.01590312487869514,0.00844871291040656,0.02648585419785044,0.00844871291040656,0.015109445034069115
ionosphere,0.013353882805464656,0.017261969519415235,0.024650182177121824,,0.018088881689352663,0.02392485651086654,0.021692805852444066,0.012076494238012592,0.02400287727608274,0.05198378213496566,0.02506065448480376,0.0034190407952599884,0.02745257749952661,,,0.01351610214761396,0.006665416060592282,,0.008714015064122668,0.0016888940106862158,0.014144480156950827,0.008714015064122668,0.014080156054272548,
landsat,0.015465512474184774,0.0,0.0021547496798717453,0.0,0.0,0.0,0.0015465512474184527,0.0,0.0,0.05583230183447751,0.0,0.10070481975317501,0.0,0.0,0.01611739724680594,0.02164738495406767,0.031587409594047995,0.037330782627297984,0.008364955580734067,0.03213497921118664,0.0033827830103697453,0.041013492574455496,0.0036751534025254605,0.03086651804823211
letter,0.011547005383792518,0.0,0.0,,0.0,0.0,0.014999999999999998,0.0,0.0,0.005,0.0,0.00957427107756338,0.0,,,0.017078251276599333,0.011547005383792516,,0.011547005383792516,0.00957427107756338,0.005773502691896257,0.005773502691896258,0.0057735026918962545,
lymphography,0.04850055658150158,0.0,0.017731254354026206,,0.04625604130511889,0.07275776593299103,0.19709784094700908,0.04474795076466088,0.06569879406703563,0.23667404835614916,0.07673529884560008,0.0513881147318119,0.04706106538126904,,,0.08769781915895963,0.3429716091849886,,0.250913947331031,0.07519980058119226,0.0,0.08489064984155838,0.0,
magic.gamma,0.014061915070627968,0.0,7.476076555024136e-05,0.0,0.0,0.0,0.005983975465133127,0.0,0.0,0.015095751834903819,0.0,0.0013456937799042766,0.0,0.0,0.017011483240551527,0.008600088019599009,0.006539608672471041,0.01839231325974307,0.010575852132125809,0.005576404784084933,0.0028458233120027317,0.01710350296539019,0.005161381319208984,0.004199044511528208
mammography,0.01421863654667875,0.0,0.0,0.0,0.0,0.0,0.009421114395319907,0.0,0.0,0.01894011115730018,0.0,0.0070220840705790604,0.0,0.0,0.03329015941691994,0.10702056983058869,0.03788022231460038,0.02047271720855297,0.03755338080994055,0.06619967106945582,0.011484918504595511,0.037993952596762706,0.02035193316203533,0.02482681632184242
mnist,0.05284266210909053,0.0,0.004809288065886679,0.0,0.0,0.0,0.010260219726864382,0.0,0.0,0.08858966786087803,0.0,0.02960913170412304,0.0,0.0,0.10061967863142457,0.05604298641695152,0.03832150068781215,0.10309743756589232,0.04042924448371265,0.061506041957509444,0.01889822365046136,0.02448100749338467,0.01889822365046136,0.024439290324488258
musk,0.22888377999566112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06242578049685549,0.0,0.16026424489843324,0.0,0.0,0.18756088039855934,0.0,0.0,0.18544765157157422,0.0,0.0,0.09852420059677974,0.0,0.09852420059677974,0.0
optdigits,0.065546138683345,0.0,0.0038490017945975253,0.0,0.0,0.0,0.04838120234906056,0.0,0.0,0.01805341867696882,0.0,0.0,0.0,0.0,0.006382847385042233,0.11128874689376811,0.0627753195192246,0.006382847385042233,0.02464563668090984,0.019626135258506344,0.0951217543369978,0.04698305447081326,0.05443310539518174,0.04145501801372806
pageblocks,0.026037365081100765,0.0,0.002941176470588225,0.0,0.0,0.0,0.014932888442870417,0.0,0.0,0.013899457724272413,0.0,0.0009803921568627416,0.0,0.0,0.04285035311124397,0.04433858981999118,0.009126954276973145,0.05444193357830154,0.013201967239689028,0.017418637870897286,0.013525622278807114,0.009109385532526996,0.00837647426011531,0.0033961780540566317
pendigits,0.05473798486089531,0.0,0.0032051282051281937,,0.0,0.0,0.037009632640360675,0.0,0.0,0.0712855868274029,0.0,0.0032051282051282094,0.0,,,0.059762249021141016,0.026879798344891317,,0.051647999851588966,0.02426883908461658,0.04231902205200506,0.0649516416819259,0.07518969363210641,
pima,0.030505655547234962,0.022605852112831816,0.030689017649732666,0.02556955058936942,0.023594666162338525,0.01797976454501089,0.0351158929378105,0.029434596673970068,0.028388672803484755,0.05905011217241266,0.03431862657211449,0.02535895523022936,0.03338987394871773,0.0293382232775367,0.05499796250828146,0.026471676262759626,0.032485957291083216,0.05685039497556706,0.029334733210580225,0.00811312624794859,0.02388990264035921,0.019811056185270893,0.011763555746383608,0.02698945069604408
satellite,0.007233836480063918,0.0,0.0007367387033398886,0.0,0.0,0.0,0.0008507125773914153,0.0,0.0,0.013453188531240017,0.0,0.05713864854580075,0.0,0.0,0.006370884956322611,0.028769517967794655,0.02154905317053639,0.014220308145190047,0.010602668538763717,0.020169444569364803,0.004683213732936419,0.006472625213087972,0.005605457863709906,0.004829037722250321
satimage-2,0.011499951844052426,0.0,0.0,0.0,0.0,0.0,0.011499951844052465,0.0,0.0,0.0070422535211267425,0.0,0.0,0.0,0.0,0.16719482538144478,0.061258161270891495,0.05439732500589897,0.1251858368635998,0.10437433838223335,0.043790511986332416,0.014084507042253567,0.04810775007492773,0.0070422535211267425,0.026661541529578725
shuttle,0.005764803183617341,0.0,0.0015249576003236209,0.0,0.0,0.0,0.4412837295215349,0.0,0.0,0.46153011872996313,0.0,0.0,0.0,0.0,0.017081828553544336,0.0020929846848047862,0.00028481913984619117,0.003942285141364192,0.00035838955830594154,0.00014240956992304777,0.0017615090966752013,0.00014240956992304777,0.0004272287097692091,0.0001424095699230817
skin,0.007723659592095598,0.0031349091852813237,0.00351432928822431,,0.006364607421860899,0.004127454632678426,0.018466915284192892,0.0031946679335521375,0.004173148912929254,0.11441348614725891,0.023699110656804124,0.003464264942716414,0.007450212301465312,,,0.03759848834216327,0.006619807035156797,,0.0051697058282570785,0.0027164311447899527,0.010748794649874558,0.005628389982554765,0.13893667199752435,
smtp,0.0,0.05096389250342194,0.05096389250342194,,0.0,0.05096389250342194,0.0,0.0,0.05096389250342194,0.05303095110834125,0.02828308183676798,0.0,0.05096389250342194,,,0.3187439455214998,0.23469337116718764,,0.05096389250342194,0.05096389250342194,0.14285714285714285,0.05096389250342194,0.2054389482945122,0.05096389250342194
spambase,0.004545663347967118,0.0,0.00530489943056869,0.0,0.0,0.0,0.011227091932180867,0.0,0.0,0.03872268183153721,0.0,0.011559203198737024,0.0,0.0,0.021415813236885066,0.0352571208990103,0.004305191273019987,0.01713472095876374,0.008034983658863645,0.004749205365854943,0.0032621951012814197,0.004281091652342266,0.0030125056393674266,0.002063193338378676
speech,0.028394275533915988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020627962937898203,0.0,0.0081967213114754,0.0,0.0,0.01569552635666126,0.0206279629378982,0.00946475851130533,0.01569552635666126,0.0081967213114754,0.015695526356661264,0.01569552635666126,0.01569552635666126,0.01569552635666126,0.013385189851274182
stamps,0.10058084293222866,0.09455235333178737,0.12936398656501547,0.042782519298580145,0.051757056095896786,0.053677105717197936,0.08752085983069052,0.07171549495715897,0.1011850488390459,0.13673415453380441,0.1003634452930617,0.07415191675418266,0.07699546558236013,0.07314069046594067,0.1856494376661109,0.10740676852894787,0.10359247001395361,0.18530718571785482,0.10635069759412126,0.05453481271190533,0.08710103790085943,0.07760285823897818,0.06248072109881016,0.1207290290589957
thyroid,0.023842535296863962,0.0,0.01029491513716496,0.0,0.0,0.0,0.13325671286753626,0.0,0.0,0.047685070593727875,0.0,0.0,0.0,0.0,0.11614230642307992,0.10086915612523507,0.015206597444871977,0.11048790424228214,0.07821918581647018,0.2086871201148335,0.07998535342086521,0.1047582634098601,0.010294915137164901,0.08206633076598788
vertebral,0.011696583682952285,0.04076463847999483,0.0391284516116039,,0.0,0.0104194362890914,0.09837894421650412,0.05307300013273296,0.05554606400703596,0.05118973584707364,0.060183287710100196,0.06194272350078546,0.009036760529188366,,,0.06772790969225652,0.1344892042606479,,0.12717951988301493,0.15629371617925705,0.055829084419425,0.08945549204667137,0.05238708804867097,
vowels,0.0282842712474619,0.0,0.025819888974716116,0.0,0.0,0.0,0.04320493798938567,0.0,0.0,0.011547005383792516,0.0,0.0,0.0,0.0,0.0,0.047609522856952316,0.02581988897471606,0.0,0.06191391873668904,0.06191391873668904,0.08640987597877146,0.06403124237432847,0.08082903768654762,0.010000000000000068
waveform,0.017320508075688773,0.0,0.017320508075688794,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.012583057392117916,0.0,0.0,0.0,0.0,0.017078251276599333,0.03915780041490244,0.012909944487358065,0.019148542155126767,0.009574271077563366,0.026299556396765827,0.06377042156569666,0.04716990566028301,0.028722813232690134,0.02081665999466133
wbc,0.026966043386110607,0.03070091069987607,0.09843624502353918,0.0539790224033682,0.05486977623469382,0.05486977623469382,0.1571428571428571,0.045231081026191666,0.03052602055465637,0.1138789788004986,0.08831045238765114,0.14723681749554188,0.03070091069987607,0.14887810960085102,0.0,0.11953049736352937,0.06616561878497475,0.0,0.07034458044986552,0.0818961481873932,0.05261325493833682,0.07108668961614098,0.04124869120784326,0.09070240507085317
wdbc,0.10312900222196464,0.023176700845526445,0.05867440646949896,0.0,0.02806721565234185,0.11320197472352145,0.054458254349446227,0.06561245168427315,0.02611604116268293,0.23412842192024977,0.05671581720397059,0.081321124170017,0.013245298815106346,0.10449610853694423,0.0,0.08343300740809892,0.048807363572427494,0.0,0.03273333911966529,0.07923657036733026,0.08975481395051907,0.08498510544836632,0.06206537408957878,0.082170436998723
wilt,0.002246499101905167,0.0,0.004492998203810332,,0.0,0.0,0.15307134513698,0.0,0.0,0.006645233959766255,0.0,0.0,0.0,,,0.0019455252918287999,0.0337722868126888,,0.04619001012483491,0.0471631072258799,0.029182879377431855,0.0671323698812323,0.0373216460958188,
wine,0.04889479026371667,0.04265473265285074,0.030577200147193968,0.12872005905464295,0.043349568879209203,0.10312328748763464,0.059494716900267315,0.09568783816158613,0.0414202094543911,0.09892756794977169,0.02811389375692463,0.1451690785216852,0.0642293175508532,0.0,0.0,0.08129388374049305,0.023121777237660564,0.0,0.0,0.02500000000000002,0.017045454545454586,0.024768904347781142,0.017045454545454586,0.005681818181818186
wpbc,0.021967304171838738,0.01463477171869385,0.030278508033430084,0.03764497645911821,0.04282278199848165,0.02200358589858257,0.054690220764152565,0.039161528366534956,0.024155635853154465,0.040813716294277,0.045677155665378985,0.035934479002785305,0.02882909979562479,0.031315455102758835,0.06073188339048295,0.05886188595937378,0.059873270727591736,0.06467439171993887,0.0711149097414912,0.05114917030102668,0.00995572601101922,0.06642454315276929,0.012141876982736503,0.03841628370618702
yeast,0.00939043843332392,0.0,0.0011387579273957013,0.0,0.0,0.0,0.017223125440407258,0.0,0.0,0.021028514913503566,0.0,0.0019723865877712458,0.0,0.0,0.01668775824654446,0.050961802861167235,0.008597433813689723,0.015530587522705756,0.03788403059131091,0.012370077397913744,0.012091764732248277,0.032344534139192756,0.008875739644970447,0.01434789799000344
yelp,0.005972157622389641,0.0,0.001914854215512678,,0.0,0.0,0.0019148542155126816,0.0,0.0,0.02478574859336173,0.0,0.0025166114784235865,0.0,,,0.04014556845614054,0.04766550115125194,,0.023572582944316193,0.031091263510296046,0.00840634680861233,0.05357860269423481,0.00840634680861233,
MNIST-C,0.02058055438614058,0.0,0.0013209741366045085,,0.0,0.0,0.006046897680046726,0.0,0.0,0.05430219701437233,0.0,0.04852959640155242,0.0,,,0.03181445032380589,0.012287283021326843,,0.013450196961837049,0.015106242143612607,0.010486550002213199,0.010884053443278745,0.011632608394722337,
FashionMNIST,0.021563931735133345,0.0,0.0027650280123876847,,0.0,0.0,0.0060885877995031906,0.0,0.0,0.03666588572063889,0.0,0.060650447821644714,0.0,,,0.022950984023340677,0.015084199805611969,,0.0086943106811365,0.012926499681016182,0.012686564749464632,0.011305759504458408,0.010276782421532618,
CIFAR10,0.012862599268490222,0.0,0.005353451350006138,,0.0,0.0,0.0072610654087179385,0.0,0.0,0.028641844281126982,0.0,0.021768276215484293,0.0,,,0.02089903105150917,0.0064721581177767185,,0.010299010287641387,0.013138154352290515,0.014497283420793311,0.009715558445361662,0.01364277081136828,
SVHN,0.00988160056497151,0.0,0.0037732653378483366,,0.0,0.0,0.004891707049738886,0.0,0.0,0.02373550356819135,0.0,0.01783060922981796,0.0,,,0.01604920987669229,0.006414623918571217,,0.005578573560196795,0.005953279824453762,0.009259883783577482,0.004985105139378973,0.01082352828934707,
MVTec-AD,0.026919163583911478,0.02666946818260739,0.030301836163385387,,0.0451852373003998,0.0451852373003998,0.03169619675347409,0.02610387603955721,0.03139267905297087,0.03522540003348297,0.03123499552143859,0.03265887005506721,0.026186827785270473,,,0.0341317736476808,0.022462737317768208,,0.030710134068973462,0.03191723749837201,0.02018822469262441,0.03279641157554156,0.020728966007345848,
20news,0.015900363423510144,0.00941943263128092,0.020916432320308282,,0.00883246956201183,0.010777554551084381,0.012874622405586253,0.008890762902201645,0.016271843371149914,0.018449939518938255,0.012936220721306206,0.014060489657131811,0.00757306817208666,,,0.03668626422974739,0.03633557518332937,,0.034043567598635825,0.0499712483408499,0.020066190234006902,0.0318334354306283,0.01807735541109066,
agnews,0.006131975521096549,0.0,0.00303245906870993,,0.0,0.0,0.00375748852510539,0.0,0.0,0.01548065384912294,0.0,0.003064448849669875,0.0,,,0.017492114420910122,0.026764409399026554,,0.04712482907942568,0.03947868846132058,0.006788564776651579,0.03812977328324991,0.007016537440239333,
